fast_actual_share,fast_predicted_share,station_count,country_code,demand_score_filled,ev_models,actual_gap,predicted_gap,data_quality_flag,confidence_level,risk_cluster,risk_level
0.36257309941520466,0.6940689627097947,171,CR,0.8464638256037036,1.0,0.48389072618849893,0.1523948628939089,ok,standard,0,Medium
0.40217391304347827,0.7048355416053471,644,BR,0.8464638256037036,1.0,0.4442899125602253,0.14162828399835647,ok,standard,0,Medium
0.14285714285714285,0.7317136090664427,7,GI,0.8710109347905514,,0.7281537919334085,0.1392973257241087,low_station_count,low,0,Medium
0.4093567251461988,0.7133710124001601,171,CL,0.8464638256037036,1.0,0.4371071004575048,0.1330928132035435,ok,standard,0,Medium
0.0,0.7402298704470964,1,AF,0.8710109347905514,,0.8710109347905514,0.13078106434345493,low_station_count,low,1,High
1.0,0.745164934276288,2,MO,0.8710109347905514,,-0.12898906520944864,0.1258460005142633,low_station_count,low,2,Low
0.4563106796116505,0.7455247892729353,412,ID,0.8710109347905514,,0.41470025517890086,0.12548614551761605,ok,standard,0,Medium
0.3333333333333333,0.7217915293532812,6,PA,0.8464638256037036,1.0,0.5131304922703703,0.12467229625042242,low_station_count,low,0,Medium
0.4734848484848485,0.7677962234088155,3696,PT,0.8920370892166337,111.0,0.4185522407317852,0.12424086580781823,ok,standard,0,Medium
0.4318181818181818,0.7349999351318338,88,JO,0.8575031263667221,21.0,0.4256849445485403,0.12250319123488829,ok,standard,0,Medium
0.44036697247706424,0.7521297972226915,109,RS,0.8710109347905514,,0.4306439623134871,0.1188811375678599,ok,standard,0,Medium
0.0,0.741031434175763,3,SA,0.8575031263667221,21.0,0.8575031263667221,0.1164716921909591,low_station_count,low,1,High
0.5084745762711864,0.7794643064324801,59,BG,0.8920370892166337,111.0,0.3835625129454473,0.11257278278415361,ok,standard,0,Medium
0.44370860927152317,0.7647510556995053,151,MA,0.8710109347905514,,0.4273023255190282,0.10625987909104606,ok,standard,0,Medium
0.46582875098193244,0.7522495806617286,1273,TR,0.8575031263667221,21.0,0.39167437538478966,0.10525354570499346,ok,standard,0,Medium
0.0,0.7437395229344326,1,GT,0.8464638256037036,1.0,0.8464638256037036,0.10272430266927102,low_station_count,low,1,High
0.0,0.7549604454241013,1,BH,0.8575031263667221,21.0,0.8575031263667221,0.10254268094262076,low_station_count,low,1,High
0.6,0.7915584989351776,15,AL,0.8710109347905514,,0.2710109347905514,0.07945243585537376,low_station_count,low,0,Medium
0.5355805243445693,0.8192020709088126,267,HR,0.8920370892166337,111.0,0.35645656487206445,0.07283501830782113,ok,standard,0,Medium
0.6666666666666666,0.7991240707047035,3,KZ,0.8710109347905514,,0.20434426812388473,0.07188686408584788,low_station_count,low,2,Low
0.5338709677419354,0.8008104521953885,1240,AU,0.8710109347905514,,0.33713996704861593,0.07020048259516287,ok,standard,0,Medium
0.6818181818181818,0.8038643342127867,22,KH,0.8710109347905514,,0.1891927529723696,0.06714660057776467,low_station_count,low,2,Low
0.6666666666666666,0.8070154976746192,3,AX,0.8710109347905514,,0.20434426812388473,0.06399543711593214,low_station_count,low,2,Low
0.0,0.8143597296566021,1,SJ,0.8710109347905514,,0.8710109347905514,0.05665120513394928,low_station_count,low,1,High
